2024-02-28 21:47:06 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:47:12 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:47:12 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:47:17 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:47:22 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:47:26 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:47:32 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:47:37 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:47:42 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:47:47 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:47:51 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:47:56 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:48:02 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:48:06 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:48:11 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:48:17 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:48:21 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:48:27 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:48:31 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:48:37 - Bitcoin Price: 60335.000000, Ethereum Price: 3340.970000
2024-02-28 21:48:41 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:48:46 - Bitcoin Price: 60335.000000, Ethereum Price: 3340.970000
2024-02-28 21:48:51 - Bitcoin Price: 60335.000000, Ethereum Price: 3340.970000
2024-02-28 21:48:56 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:02 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:07 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:11 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:16 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:49:21 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:26 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:31 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:37 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:41 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:46 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:51 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:49:57 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:50:01 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:50:06 - Bitcoin Price: 60357.000000, Ethereum Price: 3344.330000
2024-02-28 21:50:11 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:50:16 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:50:22 - Bitcoin Price: 60214.000000, Ethereum Price: 3337.460000
2024-02-28 21:50:26 - Bitcoin Price: 60357.000000, Ethereum Price: 3344.330000
2024-02-28 21:50:31 - Bitcoin Price: 60335.000000, Ethereum Price: 3340.970000
2024-02-28 21:50:36 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:50:41 - Bitcoin Price: 60335.000000, Ethereum Price: 3340.970000
2024-02-28 21:50:48 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:50:52 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:50:59 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:02 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:11 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:14 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:17 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:21 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:26 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:33 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:36 - Bitcoin Price: 0.000000, Ethereum Price: 0.000000
2024-02-28 21:51:42 - Bitcoin Price: 60335.000000, Ethereum Price: 3340.970000
